account_name,player_name,profession,timestamp,target_dps,all_damage,fight_time
Interpretor.3091,Interpretor,Warrior,202504282345,6705,3318220,419.3
KaNgUs.1025,Kangius,Berserker,202504132330,6357,2123651,264.4
KaNgUs.1025,Kangius,Berserker,202504142312,5920,5899336,792.3
Interpretor.3091,Interpretor,Berserker,202504212313,5900,2475417,345.1
Nightbringer.9845,Rainydesu,Berserker,202504142312,5874,2811741,402.3
Interpretor.3091,Interpretor,Spellbreaker,202504282345,5851,423842,62.7
Pieswithattitude.2357,Pie Ele,Catalyst,202506232308,5388,4053229,670.8
KaNgUs.1025,Kangius,Berserker,202504242313,5286,6951733,1073.0
Aein.1483,Bounciness,Vindicator,202505192236,5233,8875933,1393.7
KaNgUs.1025,Kangius,Berserker,202504212313,5227,5705530,940.6
Noe.4360,Nôè,Holosmith,202506252106,5183,4967438,870.9
Ashtonlightstone.9145,Prez Ashton,Dragonhunter,202506252106,4954,4265479,772.9
Interpretor.3091,Interpretor E,Catalyst,202506092225,4587,1053215,164.1
Interpretor.3091,Interpretor,Spellbreaker,202505192236,4582,2855726,559.0
Soothsayer.9206,My Names R Ok Chill,Untamed,202504282345,4440,2693229,470.8
Bother.9415,Böther,Catalyst,202506092225,4440,926311,166.8
CrimeLordXx.3920,Clairvoyant Link,Reaper,202504202003,4307,556911,121.9
Soothsayer.9206,T A R Ancalimë,Dragonhunter,202504212313,4232,7947171,1594.1
KaNgUs.1025,Kangius,Berserker,202504130159,4166,18632182,3686.3
Interpretor.3091,Interpretor,Warrior,202505192236,4147,3706119,753.6
Interpretor.3091,Interpretor,Warrior,202504212313,4127,5818922,1256.1
Crowley.2740,Cröwléy,Berserker,202504212313,4119,4584516,984.6
Havocus.3682,Havocus Rex,Berserker,202504282345,4115,2072975,379.0
ABC.9386,Sesbian Lëx,Holosmith,202505192236,4056,3592579,785.0
Aein.1483,Bounciness,Vindicator,202506120247,4049,9165085,1741.6
Jeff.7219,Kim Siëghart,Berserker,202505040253,4027,1393006,290.3
Chakkkka.2504,Chakkka Terror,Catalyst,202506252106,4013,3640640,845.7
Havocus.3682,Havocus Imperator,Dragonhunter,202505020004,3912,197838,29.1
synco.8132,Synco E,Catalyst,202506302308,3845,6718393,1384.2
Luke.9108,Luck Beastbane,Untamed,202506232308,3826,1414541,334.1
Beneko.8475,Beneco Holosmilf,Holosmith,202506252106,3807,3718602,906.1
Interpretor.3091,Interpretor,Spellbreaker,202506092225,3771,752646,156.5
Dextra.8162,Candy Glazed,Weaver,202506120247,3767,6488221,1256.9
Soothsayer.9206,My Names R Ok Chill,Untamed,202506092225,3714,5265704,1072.2
Aein.1483,Bounciness,Vindicator,202506092225,3644,3183616,641.9
Huge.5891,Too Huge,Willbender,202506262310,3644,131677,32.3
Filipe.8492,Coxinha Astral,Dragonhunter,202506252106,3604,3471185,866.2
Havocus.3682,Havocus Rex,Berserker,202504212313,3586,6947267,1657.4
Nightbringer.9845,Rainydesu,Berserker,202504212313,3554,3073209,746.5
synco.8132,Synco E,Catalyst,202506262310,3549,13368783,2879.6
Interpretor.3091,Interpretor,Spellbreaker,202504212313,3519,6798888,1688.0
souljota.7923,Sou Jota,Vindicator,202505192236,3516,4905642,1194.0
Nictheman.9754,Stiloris,Tempest,202506020047,3481,149491,39.4
BlueFlame.8673,Eúphoriaaaa,Berserker,202504212313,3478,2181932,543.0
Nightbringer.9845,Rainy Twilight,Holosmith,202504142312,3470,1514788,354.8
Pieswithattitude.2357,Pie Ele,Catalyst,202506120247,3453,782231,203.2
Soothsayer.9206,Aelius Oathbreaker,Warrior,202506162254,3453,6517235,1569.5
Avvie.9406,Avvie Patron,Dragonhunter,202506252106,3440,2887380,770.3
Interpretor.3091,Interpretor,Warrior,202505020004,3411,578056,108.8
Interpretor.3091,Interpretor,Spellbreaker,202506262310,3379,4663702,1113.0
